np,omp_threads,mode,grid,iters,repeat,runtime_s
1,6,encrypt,1024,2000,1,1.893322
1,6,decrypt,1024,2000,1,1.863013
1,8,encrypt,64,500,1,0.022701
1,8,decrypt,64,500,1,0.021777
1,8,encrypt,64,1000,1,0.044414
1,8,decrypt,64,1000,1,0.044788
1,8,encrypt,64,2000,1,0.090399
1,8,decrypt,64,2000,1,0.088755
1,8,encrypt,128,500,1,0.029459
1,8,decrypt,128,500,1,0.029483
1,8,encrypt,128,1000,1,0.057651
1,8,decrypt,128,1000,1,0.056236
1,8,encrypt,128,2000,1,0.112756
1,8,decrypt,128,2000,1,0.110858
1,8,encrypt,256,500,1,0.048390
1,8,decrypt,256,500,1,0.045853
1,8,encrypt,256,1000,1,0.090493
1,8,decrypt,256,1000,1,0.092613
1,8,encrypt,256,2000,1,0.179406
1,8,decrypt,256,2000,1,0.179576
1,8,encrypt,512,500,1,0.116372
1,8,decrypt,512,500,1,0.112515
1,8,encrypt,512,1000,1,0.220843
1,8,decrypt,512,1000,1,0.219079
1,8,encrypt,512,2000,1,0.446456
1,8,decrypt,512,2000,1,0.468845
1,8,encrypt,1024,500,1,0.386235
1,8,decrypt,1024,500,1,0.368154
1,8,encrypt,1024,1000,1,0.729326
1,8,decrypt,1024,1000,1,0.719895
1,8,encrypt,1024,2000,1,1.509323
1,8,decrypt,1024,2000,1,1.462270
1,10,encrypt,64,500,1,0.028676
1,10,decrypt,64,500,1,0.027849
1,10,encrypt,64,1000,1,0.053857
1,10,decrypt,64,1000,1,0.053821
1,10,encrypt,64,2000,1,0.113410
1,10,decrypt,64,2000,1,0.112428
1,10,encrypt,128,500,1,0.031650
1,10,decrypt,128,500,1,0.032027
1,10,encrypt,128,1000,1,0.065122
1,10,decrypt,128,1000,1,0.064398
1,10,encrypt,128,2000,1,0.123362
1,10,decrypt,128,2000,1,0.125420
1,10,encrypt,256,500,1,0.051084
1,10,decrypt,256,500,1,0.055134
1,10,encrypt,256,1000,1,0.097278
1,10,decrypt,256,1000,1,0.095853
1,10,encrypt,256,2000,1,0.187803
1,10,decrypt,256,2000,1,0.180918
1,10,encrypt,512,500,1,0.106584
1,10,decrypt,512,500,1,0.134079
1,10,encrypt,512,1000,1,0.215650
1,10,decrypt,512,1000,1,0.200094
1,10,encrypt,512,2000,1,0.489734
1,10,decrypt,512,2000,1,0.400961
1,10,encrypt,1024,500,1,0.332964
1,10,decrypt,1024,500,1,0.313189
1,10,encrypt,1024,1000,1,0.717180
1,10,decrypt,1024,1000,1,0.610640
1,10,encrypt,1024,2000,1,1.218608
1,10,decrypt,1024,2000,1,1.517216
1,12,encrypt,64,500,1,0.034707
1,12,decrypt,64,500,1,0.034078
1,12,encrypt,64,1000,1,0.067663
1,12,decrypt,64,1000,1,0.067484
1,12,encrypt,64,2000,1,0.131730
1,12,decrypt,64,2000,1,0.133201
1,12,encrypt,128,500,1,0.037770
1,12,decrypt,128,500,1,0.037402
1,12,encrypt,128,1000,1,0.072905
1,12,decrypt,128,1000,1,0.073035
1,12,encrypt,128,2000,1,0.148224
1,12,decrypt,128,2000,1,0.153363
1,12,encrypt,256,500,1,0.053100
1,12,decrypt,256,500,1,0.055084
1,12,encrypt,256,1000,1,0.110322
1,12,decrypt,256,1000,1,0.109429
1,12,encrypt,256,2000,1,0.217143
1,12,decrypt,256,2000,1,0.217267
1,12,encrypt,512,500,1,0.141325
1,12,decrypt,512,500,1,0.138774
1,12,encrypt,512,1000,1,0.275821
1,12,decrypt,512,1000,1,0.290028
1,12,encrypt,512,2000,1,0.563381
1,12,decrypt,512,2000,1,0.540372
1,12,encrypt,1024,500,1,0.431406
1,12,decrypt,1024,500,1,0.393086
1,12,encrypt,1024,1000,1,0.791114
1,12,decrypt,1024,1000,1,0.770105
1,12,encrypt,1024,2000,1,1.587007
1,12,decrypt,1024,2000,1,1.531381
2,1,encrypt,64,500,1,0.018194
2,1,decrypt,64,500,1,0.014504
2,1,encrypt,64,1000,1,0.022204
2,1,decrypt,64,1000,1,0.020147
2,1,encrypt,64,2000,1,0.033949
2,1,decrypt,64,2000,1,0.030419
2,1,encrypt,128,500,1,0.027829
2,1,decrypt,128,500,1,0.026820
2,1,encrypt,128,1000,1,0.048213
2,1,decrypt,128,1000,1,0.045028
2,1,encrypt,128,2000,1,0.088322
2,1,decrypt,128,2000,1,0.083595
2,1,encrypt,256,500,1,0.084523
2,1,decrypt,256,500,1,0.086142
2,1,encrypt,256,1000,1,0.162018
2,1,decrypt,256,1000,1,0.180185
2,1,encrypt,256,2000,1,0.309561
2,1,decrypt,256,2000,1,0.299494
2,1,encrypt,512,500,1,0.329610
2,1,decrypt,512,500,1,0.343082
2,1,encrypt,512,1000,1,0.641885
2,1,decrypt,512,1000,1,0.652241
2,1,encrypt,512,2000,1,1.291253
2,1,decrypt,512,2000,1,1.282345
2,1,encrypt,1024,500,1,1.326059
2,1,decrypt,1024,500,1,1.314549
2,1,encrypt,1024,1000,1,2.627656
2,1,decrypt,1024,1000,1,2.629010
2,1,encrypt,1024,2000,1,5.234349
2,1,decrypt,1024,2000,1,5.187595
2,2,encrypt,64,500,1,0.019245
2,2,decrypt,64,500,1,0.018137
2,2,encrypt,64,1000,1,0.030066
2,2,decrypt,64,1000,1,0.029045
2,2,encrypt,64,2000,1,0.051011
2,2,decrypt,64,2000,1,0.054854
