np,omp_threads,mode,grid,iters,repeat,runtime_s
16,1,encrypt,4096,2000,1,29.500307
16,1,decrypt,4096,2000,1,27.243613
16,2,encrypt,32,2000,1,0.100235
16,2,decrypt,32,2000,1,181.404103
16,2,encrypt,64,2000,1,30.263694
16,2,decrypt,64,2000,1,0.097383
16,2,encrypt,128,2000,1,0.121330
16,2,decrypt,128,2000,1,0.112075
16,2,encrypt,256,2000,1,0.179200
16,2,decrypt,256,2000,1,0.158822
16,2,encrypt,1024,2000,1,1.566709
16,2,decrypt,1024,2000,1,31.728662
16,2,encrypt,2048,2000,1,5.962175
16,2,decrypt,2048,2000,1,35.452465
16,2,encrypt,4096,2000,1,23.295853
16,2,decrypt,4096,2000,1,51.329936
16,4,encrypt,32,2000,1,1.298498
16,4,decrypt,32,2000,1,181.246937
16,4,encrypt,64,2000,1,0.182137
16,4,decrypt,64,2000,1,1.183359
16,4,encrypt,128,2000,1,0.187895
16,4,decrypt,128,2000,1,0.179172
16,4,encrypt,256,2000,1,0.261267
16,4,decrypt,256,2000,1,30.288776
16,4,encrypt,1024,2000,1,1.820198
16,4,decrypt,1024,2000,1,31.976544
16,4,encrypt,2048,2000,1,6.083218
16,4,decrypt,2048,2000,1,5.615783
16,4,encrypt,4096,2000,1,23.809604
16,4,decrypt,4096,2000,1,52.015656
32,1,encrypt,32,2000,1,0.284731
32,1,decrypt,32,2000,1,211.759409
32,1,encrypt,64,2000,1,0.274275
32,1,decrypt,64,2000,1,1.182875
32,1,encrypt,128,2000,1,0.196936
32,1,decrypt,128,2000,1,0.168798
32,1,encrypt,256,2000,1,0.241661
32,1,decrypt,256,2000,1,0.216395
32,1,encrypt,1024,2000,1,1.079822
32,1,decrypt,1024,2000,1,1.011183
32,1,encrypt,2048,2000,1,3.869742
32,1,decrypt,2048,2000,1,3.548651
32,1,encrypt,4096,2000,1,14.631560
32,1,decrypt,4096,2000,1,13.686772
32,2,encrypt,32,2000,1,1.178290
32,2,decrypt,32,2000,1,0.150845
32,2,encrypt,64,2000,1,0.182955
32,2,decrypt,64,2000,1,1.192343
32,2,encrypt,128,2000,1,0.172571
32,2,decrypt,128,2000,1,30.499288
32,2,encrypt,256,2000,1,0.328581
32,2,decrypt,256,2000,1,30.495950
32,2,encrypt,1024,2000,1,0.957557
32,2,decrypt,1024,2000,1,0.846451
32,2,encrypt,2048,2000,1,3.201804
32,2,decrypt,2048,2000,1,2.902956
32,2,encrypt,4096,2000,1,13.290914
32,2,decrypt,4096,2000,1,10.931473
32,4,encrypt,32,2000,1,0.228924
32,4,decrypt,32,2000,1,181.377185
32,4,encrypt,64,2000,1,0.341430
32,4,decrypt,64,2000,1,1.258962
32,4,encrypt,128,2000,1,0.282349
32,4,decrypt,128,2000,1,0.229846
32,4,encrypt,256,2000,1,0.312307
32,4,decrypt,256,2000,1,0.274414
32,4,encrypt,1024,2000,1,1.115256
32,4,decrypt,1024,2000,1,0.998714
32,4,encrypt,2048,2000,1,3.429694
32,4,decrypt,2048,2000,1,3.107895
32,4,encrypt,4096,2000,1,12.470162
32,4,decrypt,4096,2000,1,41.796945
